,molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
85,CHEMBL61424,Cc1ncnc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,active,7.9
86,CHEMBL59358,COc1cc(CN(c2ccccc2)C2CCN(C3(C)CCN(C(=O)c4c(C)cc[n+]([O-])c4C)CC3)CC2)cc(OC)c1OC,active,1000.0
87,CHEMBL61466,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(Cl)cc3)CC2)CC1,active,2.4
88,CHEMBL61466,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(Cl)cc3)CC2)CC1,active,2.0
89,CHEMBL61466,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(Cl)cc3)CC2)CC1,active,25.7
90,CHEMBL59285,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(-c4ccccc4)cc3)CC2)CC1,active,460.0
91,CHEMBL294271,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3cccc4ccn(C)c34)CC2)CC1,active,102.0
92,CHEMBL294271,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3cccc4ccn(C)c34)CC2)CC1,active,147.0
93,CHEMBL294271,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3cccc4ccn(C)c34)CC2)CC1,intermediate,2165.0
94,CHEMBL61373,Cc1nc(-c2ccncc2)nc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,active,2.8
95,CHEMBL61373,Cc1nc(-c2ccncc2)nc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,active,7.9
96,CHEMBL61373,Cc1nc(-c2ccncc2)nc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,active,30.0
97,CHEMBL61373,Cc1nc(-c2ccncc2)nc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,active,24.6
