,molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm
1684,CHEMBL540366,CCCCN1C(=O)C(CC(C)C)NC(=O)C12CCN(Cc1ccc3c(c1)OCCO3)CC2.Cl,active,180.0,480.04900000000026,3.3874000000000017,1.0,5.0,180.0
1685,CHEMBL557199,CCCCN1C(=O)C(CC(C)C)NC(=O)C12CCN(Cc1ccccc1)CC2.Cl,active,900.0,422.0130000000001,3.6162000000000023,1.0,3.0,900.0
1686,CHEMBL557015,CCCCN1C(=O)C(CC2CCCCC2)NC(=O)C12CCN(Cc1ccc(OC)cc1)CC2.Cl,active,120.0,492.1040000000002,4.549100000000005,1.0,4.0,120.0
1687,CHEMBL593605,CCCCN1C(=O)[C@H](CC2CCCCC2)NC(=O)C12CCN(CCc1cccc(Oc3ccccc3)c1)CC2.Cl,inactive,10000.0,568.2020000000001,6.375300000000007,1.0,4.0,10000.0
1688,CHEMBL596165,CCCCN1C(=O)[C@H](CC2CCCCC2)NC(=O)C12CCN(CCc1cccc(Sc3ccccc3)c1)CC2.Cl,active,170.0,584.2700000000001,6.7342000000000075,1.0,4.0,170.0
1689,CHEMBL592918,CCCCN1C(=O)[C@H](CC2CCCCC2)NC(=O)C12CCN(CCc1cccc(S(=O)(=O)c3ccccc3)c1)CC2.Cl,active,86.0,616.2680000000001,5.415800000000005,1.0,5.0,86.0
1690,CHEMBL593204,CCCCN1C(=O)[C@H](CC2CCCCC2)NC(=O)C12CCN(CCc1cccc(Oc3ccc(C)cc3)c1)CC2.Cl,active,79.0,582.2290000000002,6.683720000000008,1.0,4.0,79.0
1691,CHEMBL593177,CCCCN1C(=O)[C@H](CC2CCCCC2)NC(=O)C12CCN(CCc1cccc(Oc3ccc(OC)cc3)c1)CC2.Cl,active,130.0,598.2280000000002,6.383900000000008,1.0,5.0,130.0
1692,CHEMBL592944,CCCCN1C(=O)[C@H](CC2CCCCC2)NC(=O)C12CCN(CCc1cccc(Oc3ccc(O)cc3)c1)CC2.Cl,active,42.0,584.2010000000001,6.080900000000008,2.0,5.0,42.0
1693,CHEMBL593111,CCCCN1C(=O)[C@H](CC2CCCCC2)NC(=O)C12CCN(CCc1cccc(Oc3ccc(F)cc3)c1)CC2.Cl,active,92.0,586.1920000000001,6.514400000000007,1.0,4.0,92.0
